beam_name,length,concrete_area,concrete_cover,steel_area,frp_area,insulation_thickness,insulation_depth,conc_strength,steel_strength,frp_strength,glass_transition,thermal_conductivity,specific_heat,total_load,load_ratio,fire_resistance
I1_ B644,1800,22500,12,142.59,81.2,19.0,30.0,33.0,446,1068,84,0.185,668000,21.53,56.02,35
I1_ B645,1440,22500,12,142.59,25.5,19.0,30.0,34.0,447,1138,87,0.183,662000,26.65,71.64,40
I1_ B646,1540,22500,12,142.59,81.2,19.0,36.0,36.0,435,1068,83,0.177,640000,28.47,47.61,70
I1_ B647,2040,22500,12,142.59,35.7,19.0,36.0,32.0,456,1138,83,0.17200000000000001,623000,18.19,57.87,65
I1_ B648,2320,22500,12,142.59,58.0,19.0,36.0,29.0,414,966,88,0.157,568000,22.63,69.93,35
I1_ B649,1740,30000,10,142.59,81.2,19.0,0.0,29.0,432,1034,87,0.156,562000,24.73,45.97,60
I1_ B650,1500,30000,10,142.59,60.0,19.0,0.0,35.0,456,1100,78,0.162,584000,43.22,62.22,25
I1_ B651,1460,30000,10,142.59,61.2,19.0,0.0,37.0,424,1034,83,0.13899999999999998,501000,57.0,70.28,30
I1_ B652,1620,30000,10,142.59,81.2,19.0,10.0,30.0,430,1034,83,0.134,484000,28.49,46.21,65
I1_ B653,1260,30000,10,142.59,46.4,19.0,10.0,27.0,431,966,86,0.14200000000000002,512000,56.74,62.29,30
I1_ B654,2340,30000,10,142.59,15.3,19.0,10.0,33.0,421,4840,75,0.179,645000,36.54,70.21,30
I1_ B655,1780,30000,10,142.59,101.5,19.0,20.0,29.0,428,1068,86,0.148,534000,36.79,43.92,55
I1_ B656,2100,30000,10,142.59,70.0,19.0,20.0,30.0,454,1100,80,0.14300000000000002,518000,34.15,55.39,45
I1_ B657,1240,30000,10,142.59,30.6,19.0,20.0,40.0,439,1138,88,0.176,634000,52.3,67.55,25
I1_ B658,1240,30000,10,142.59,40.8,19.0,25.0,37.0,422,1138,87,0.14300000000000002,518000,51.57,46.98,60
I1_ B659,1440,30000,10,142.59,81.2,19.0,25.0,34.0,460,1068,86,0.13999999999999999,506000,59.63,57.32,35
I1_ B660,1260,30000,10,142.59,19.8,19.0,25.0,31.0,432,4123,85,0.13999999999999999,506000,55.57,71.07,30
I1_ B661,2160,30000,10,142.59,19.8,19.0,30.0,32.0,426,4123,73,0.179,645000,18.98,42.98,80
I1_ B662,1360,30000,10,142.59,61.2,19.0,30.0,32.0,414,1068,82,0.185,668000,37.85,52.6,60
I1_ B663,1680,30000,10,142.59,52.2,19.0,30.0,31.0,430,966,86,0.128,462000,39.14,70.81,35
I1_ B664,1800,30000,12,142.59,51.0,19.0,0.0,37.0,450,1068,85,0.183,662000,23.21,42.52,50
I1_ B665,2400,30000,12,142.59,60.9,19.0,0.0,40.0,435,1068,83,0.159,573000,25.2,61.62,30
I1_ B666,1600,30000,12,142.59,40.8,19.0,0.0,33.0,433,1138,85,0.179,645000,47.61,67.93,35
I1_ B667,2320,30000,12,142.59,14.4,19.0,12.0,36.0,436,4100,73,0.176,634000,18.02,45.95,65
I1_ B668,1760,30000,12,142.59,17.0,19.0,12.0,28.0,446,4840,78,0.174,629000,43.11,55.16,30
I1_ B669,2120,30000,12,142.59,35.7,19.0,12.0,40.0,436,1138,88,0.162,584000,38.51,66.05,35
I1_ B670,1960,30000,12,142.59,11.9,19.0,24.0,34.0,442,4840,78,0.182,657000,22.1,42.88,80
I1_ B671,2400,30000,12,142.59,11.0,19.0,24.0,32.0,429,4318,76,0.16799999999999998,607000,20.88,55.52,55
I1_ B672,1780,30000,12,142.59,40.8,19.0,24.0,27.0,430,1138,84,0.13899999999999998,501000,38.0,70.46,45
I1_ B673,1300,30000,12,142.59,61.2,19.0,30.0,35.0,422,1068,87,0.16799999999999998,607000,43.44,45.21,65
I1_ B674,1820,30000,12,142.59,70.0,19.0,30.0,28.0,456,1100,85,0.177,640000,32.59,61.82,40
I1_ B675,2240,30000,12,142.59,61.2,19.0,30.0,40.0,440,1034,87,0.126,456000,35.98,70.71,40
I1_ B676,2260,30000,12,142.59,81.2,19.0,36.0,32.0,427,1068,88,0.163,590000,23.12,43.08,80
I1_ B677,1820,30000,12,142.59,81.2,19.0,36.0,33.0,430,1034,85,0.16799999999999998,607000,41.37,63.45,35
I1_ B678,1540,30000,12,142.59,101.5,19.0,36.0,29.0,456,1068,82,0.176,634000,43.76,69.26,25
I1_ B679,1360,40000,10,142.59,45.9,19.0,0.0,39.0,443,1138,88,0.185,668000,33.83,45.24,50
I1_ B680,2060,40000,10,142.59,70.0,19.0,0.0,32.0,452,1100,76,0.15100000000000002,545000,33.35,62.53,30
I1_ B681,1560,40000,10,142.59,81.6,19.0,0.0,27.0,445,1034,83,0.14300000000000002,518000,50.14,70.32,25
I1_ B682,1980,40000,10,213.88,81.2,19.0,0.0,35.0,460,966,86,0.14200000000000002,512000,42.99,46.69,60
I1_ B683,1720,40000,10,213.88,121.8,19.0,0.0,36.0,458,1034,86,0.125,451000,50.9,55.19,55
I1_ B684,1540,40000,10,213.88,90.0,19.0,0.0,36.0,431,1100,75,0.13899999999999998,501000,84.6,70.58,25
I1_ B685,1340,40000,10,142.59,61.2,19.0,10.0,38.0,443,1068,83,0.13899999999999998,501000,38.25,44.14,55
I1_ B686,2200,40000,10,142.59,45.9,19.0,10.0,33.0,426,1138,88,0.128,462000,33.95,52.4,35
I1_ B687,1600,40000,10,142.59,60.0,19.0,10.0,33.0,416,1100,72,0.163,590000,52.68,69.66,30
I1_ B688,1840,40000,10,213.88,101.5,19.0,10.0,34.0,448,1034,82,0.13899999999999998,501000,43.89,46.44,75
I1_ B689,1680,40000,10,213.88,80.0,19.0,10.0,39.0,414,1100,72,0.157,568000,46.86,56.1,50
I1_ B690,2020,40000,10,213.88,91.8,19.0,10.0,33.0,414,1034,88,0.162,584000,49.91,70.82,40
I1_ B691,1880,40000,10,142.59,34.8,19.0,20.0,40.0,433,966,87,0.131,473000,25.46,46.32,75
I1_ B692,1300,40000,10,142.59,23.1,19.0,20.0,34.0,445,4123,85,0.17200000000000001,623000,47.67,61.23,30
I1_ B693,1780,40000,10,142.59,61.2,19.0,20.0,38.0,456,1068,83,0.17200000000000001,623000,42.35,69.4,30
I1_ B694,2180,40000,10,213.88,121.8,19.0,20.0,40.0,429,1034,85,0.152,551000,46.16,46.69,70
I1_ B695,1700,40000,10,213.88,29.7,19.0,20.0,35.0,434,4123,82,0.163,590000,60.26,59.42,30
I1_ B696,1380,40000,10,213.88,51.0,19.0,20.0,38.0,446,1138,85,0.162,584000,89.99,70.76,30
I1_ B697,1620,40000,10,142.59,70.0,19.0,25.0,35.0,455,1100,80,0.159,573000,40.96,47.92,60
I1_ B698,2120,40000,10,142.59,58.0,19.0,25.0,38.0,424,966,84,0.16799999999999998,607000,34.47,54.64,35
I1_ B699,1220,40000,10,142.59,23.1,19.0,25.0,35.0,426,4123,76,0.16,579000,58.23,69.64,30
I1_ B700,2120,40000,10,213.88,29.0,19.0,25.0,31.0,429,966,86,0.18000000000000002,651000,25.23,47.45,100
I1_ B701,1780,40000,10,213.88,61.2,19.0,25.0,37.0,451,1138,86,0.176,634000,47.62,59.42,35
I1_ B702,1920,40000,10,213.88,24.0,19.0,25.0,40.0,422,4100,78,0.129,467000,62.79,70.51,30
I1_ B703,2120,40000,10,142.59,8.5,19.0,30.0,30.0,422,4840,79,0.16899999999999998,612000,15.9,45.2,80
I1_ B704,1720,40000,10,142.59,34.8,19.0,30.0,35.0,427,966,84,0.18000000000000002,651000,30.13,53.45,65
I1_ B705,1680,40000,10,142.59,60.0,19.0,30.0,32.0,429,1100,79,0.145,523000,38.32,71.52,30
I1_ B706,1680,40000,10,213.88,30.6,19.0,30.0,30.0,450,1138,88,0.126,456000,37.77,46.54,125
I1_ B707,1340,40000,10,213.88,61.2,19.0,30.0,35.0,458,1138,87,0.16899999999999998,612000,65.64,62.91,45
I1_ B708,2360,40000,10,213.88,61.2,19.0,30.0,34.0,456,1138,83,0.15100000000000002,545000,41.74,67.83,35
I1_ B709,1960,40000,12,142.59,14.4,19.0,0.0,34.0,419,4100,85,0.14200000000000002,512000,25.26,48.69,65
I1_ B710,1960,40000,12,142.59,60.9,19.0,0.0,38.0,423,1068,88,0.16899999999999998,612000,22.55,51.76,50
I1_ B711,2420,40000,12,142.59,15.3,19.0,0.0,37.0,447,4840,73,0.149,540000,42.69,70.04,25
I1_ B712,1380,40000,12,213.88,91.8,19.0,0.0,39.0,438,1068,82,0.13899999999999998,501000,51.16,42.48,65
I1_ B713,1700,40000,12,213.88,81.6,19.0,0.0,28.0,431,1138,83,0.146,529000,65.57,59.37,20
I1_ B714,2060,40000,12,213.88,60.0,19.0,0.0,30.0,435,1100,74,0.16899999999999998,612000,60.7,71.29,20
I1_ B715,1700,40000,12,142.59,50.0,19.0,12.0,40.0,438,1100,79,0.129,467000,30.39,43.77,65
I1_ B716,1280,40000,12,142.59,16.8,19.0,12.0,29.0,441,4100,72,0.154,556000,43.46,54.54,35
I1_ B717,2080,40000,12,142.59,40.6,19.0,12.0,37.0,459,966,84,0.12300000000000001,445000,35.96,70.07,30
I1_ B718,1980,40000,12,213.88,121.8,19.0,12.0,35.0,429,1034,87,0.16899999999999998,612000,42.68,47.87,80
I1_ B719,1920,40000,12,213.88,121.8,19.0,12.0,40.0,445,1068,87,0.174,629000,59.95,57.11,30
I1_ B720,1900,40000,12,213.88,121.8,19.0,12.0,29.0,430,1034,82,0.174,629000,63.75,71.2,25
I1_ B721,1860,40000,12,142.59,19.8,19.0,24.0,33.0,422,4123,83,0.13999999999999999,506000,22.2,47.25,70
I1_ B722,2040,40000,12,142.59,71.4,19.0,24.0,37.0,449,1034,86,0.174,629000,32.19,58.69,35
I1_ B723,1800,40000,12,142.59,51.0,19.0,24.0,30.0,445,1138,88,0.18000000000000002,651000,49.14,70.46,35
I1_ B724,1260,40000,12,213.88,112.2,19.0,24.0,32.0,425,1034,87,0.174,629000,49.13,42.62,75
I1_ B725,2340,40000,12,213.88,162.4,19.0,24.0,32.0,439,1034,87,0.148,534000,47.97,35.07,35
I1_ B726,1820,40000,12,213.88,16.5,19.0,24.0,38.0,431,4318,82,0.145,523000,58.68,67.27,30
I1_ B727,2160,40000,12,142.59,81.2,19.0,30.0,30.0,460,1068,83,0.145,523000,25.37,42.98,75
I1_ B728,2200,40000,12,142.59,19.2,19.0,30.0,27.0,457,4100,83,0.13699999999999998,495000,29.5,56.13,65
I1_ B729,2280,40000,12,142.59,16.8,19.0,30.0,27.0,441,4100,79,0.152,551000,41.87,71.11,30
I1_ B730,1960,40000,12,213.88,110.0,19.0,30.0,31.0,433,1100,79,0.163,590000,36.36,43.93,90
I1_ B731,1440,40000,12,213.88,56.1,19.0,30.0,36.0,427,1138,83,0.15100000000000002,545000,56.01,52.69,70
I1_ B732,2420,40000,12,213.88,81.2,19.0,30.0,32.0,444,966,85,0.131,473000,64.19,70.89,40
I1_ B733,2480,40000,12,142.59,81.2,19.0,36.0,27.0,421,1034,85,0.16899999999999998,612000,16.33,48.15,65
I1_ B734,1520,40000,12,142.59,40.8,19.0,36.0,38.0,422,1068,84,0.176,634000,41.14,53.38,75
I1_ B735,2420,40000,12,142.59,70.0,19.0,36.0,40.0,444,1100,82,0.145,523000,37.46,70.22,40
I1_ B736,1380,40000,12,213.88,71.4,19.0,36.0,30.0,439,1138,85,0.182,657000,66.71,42.42,85
I1_ B737,2060,40000,12,213.88,52.2,19.0,36.0,35.0,423,966,85,0.12300000000000001,445000,49.39,62.08,80
I1_ B738,2460,40000,12,213.88,76.5,19.0,36.0,30.0,422,1138,87,0.12300000000000001,445000,58.99,69.95,40
I1_ B739,2100,50000,10,213.88,29.7,19.0,0.0,33.0,416,4123,85,0.179,645000,36.2,44.59,60
I1_ B740,2340,50000,10,213.88,29.7,19.0,0.0,33.0,455,4123,81,0.177,640000,43.02,58.21,40
I1_ B741,1700,50000,10,213.88,29.7,19.0,0.0,39.0,421,4123,72,0.157,568000,86.92,70.04,35
I1_ B742,1360,50000,10,213.88,29.7,19.0,10.0,36.0,453,4123,72,0.146,529000,55.98,27.32,70
I1_ B743,1340,50000,10,213.88,91.8,19.0,10.0,31.0,448,1068,83,0.131,473000,65.89,33.12,50
I1_ B744,2420,50000,10,213.88,21.6,19.0,10.0,35.0,430,4100,77,0.165,595000,40.85,70.75,50
I1_ B745,2260,50000,10,213.88,91.8,19.0,20.0,36.0,441,1068,82,0.13899999999999998,501000,31.15,26.43,65
I1_ B746,1220,50000,10,213.88,110.0,19.0,20.0,34.0,429,1100,75,0.132,479000,77.53,60.21,40
I1_ B747,1620,50000,10,213.88,22.0,19.0,20.0,28.0,447,4318,74,0.131,473000,79.28,70.34,30
I1_ B748,1240,50000,10,213.88,91.8,19.0,25.0,33.0,421,1034,85,0.148,534000,74.71,28.82,75
I1_ B749,2240,50000,10,213.88,91.8,19.0,25.0,31.0,434,1034,87,0.126,456000,38.32,63.38,45
I1_ B750,1460,50000,10,213.88,90.0,19.0,25.0,38.0,430,1100,72,0.13899999999999998,501000,82.59,41.06,25
I1_ B751,2460,50000,10,213.88,81.6,19.0,30.0,31.0,451,1068,87,0.162,584000,31.6,47.04,85
I1_ B752,1600,50000,10,213.88,87.0,19.0,30.0,37.0,429,966,87,0.146,529000,70.14,57.65,35
I1_ B753,1500,50000,10,213.88,19.8,19.0,30.0,31.0,420,4318,72,0.146,529000,80.66,59.45,30
I1_ B754,1880,50000,12,213.88,110.0,19.0,0.0,30.0,458,1100,76,0.129,467000,59.69,48.49,60
I1_ B755,2100,50000,12,213.88,20.4,19.0,0.0,40.0,434,4840,84,0.125,451000,52.75,58.84,40
I1_ B756,2280,50000,12,213.88,121.8,19.0,0.0,29.0,425,1068,83,0.136,490000,58.27,69.94,30
I1_ B757,1480,50000,12,213.88,66.3,19.0,12.0,40.0,418,1138,83,0.146,529000,52.66,29.31,65
I1_ B758,2060,50000,12,213.88,110.0,19.0,12.0,30.0,446,1100,82,0.159,573000,47.79,58.1,50
I1_ B759,1680,50000,12,213.88,20.4,19.0,12.0,33.0,450,4840,77,0.13699999999999998,495000,70.52,70.44,50
I1_ B760,2380,50000,12,213.88,91.8,19.0,24.0,27.0,428,1068,87,0.157,568000,27.22,25.74,80
I1_ B761,2360,50000,12,213.88,66.3,19.0,24.0,38.0,415,1138,83,0.179,645000,33.59,33.79,60
I1_ B762,1400,50000,12,213.88,121.8,19.0,24.0,27.0,418,1034,87,0.16799999999999998,607000,67.39,70.67,30
I1_ B763,1960,50000,12,213.88,66.3,19.0,30.0,33.0,435,1138,83,0.14300000000000002,518000,43.39,32.12,85
I1_ B764,2220,50000,12,213.88,80.0,19.0,30.0,35.0,423,1100,76,0.171,618000,45.52,60.42,40
I1_ B765,1900,50000,12,213.88,110.0,19.0,30.0,28.0,446,1100,84,0.162,584000,62.41,70.8,50
I1_ B766,1580,50000,12,213.88,121.8,19.0,36.0,38.0,414,1068,87,0.149,540000,61.4,20.25,80
I1_ B767,1820,50000,12,213.88,121.8,19.0,36.0,34.0,452,1034,83,0.145,523000,61.73,26.13,75
I1_ B768,1600,50000,12,213.88,121.8,19.0,36.0,33.0,420,1034,83,0.126,456000,60.86,32.22,25
I1_ B769,1240,37500,19,142.59,35.7,19.0,0.0,33.0,438,1138,88,0.16,579000,59.41,48.76,70
I1_ B770,2300,37500,19,142.59,10.2,19.0,0.0,34.0,417,4840,83,0.185,668000,35.38,61.17,60
I1_ B771,2060,37500,19,142.59,71.4,19.0,0.0,29.0,448,1034,88,0.13999999999999999,506000,50.59,69.96,20
I1_ B772,2320,37500,19,142.59,81.2,19.0,19.0,34.0,418,1034,86,0.145,523000,22.08,47.61,75
I1_ B773,1760,37500,19,142.59,81.2,19.0,19.0,40.0,432,1034,83,0.134,484000,43.61,58.53,30
I1_ B774,1860,37500,19,142.59,14.4,19.0,19.0,35.0,423,4100,75,0.152,551000,45.99,70.47,35
I1_ B775,2400,37500,19,142.59,121.8,19.0,38.0,28.0,453,1034,86,0.154,556000,25.85,43.94,95
I1_ B776,2200,37500,19,142.59,61.2,19.0,38.0,31.0,428,1068,87,0.16899999999999998,612000,30.36,56.23,35
I1_ B777,1520,37500,19,142.59,51.0,19.0,38.0,27.0,454,1138,85,0.15100000000000002,545000,77.41,70.95,35
I1_ B778,2040,37500,19,142.59,40.6,19.0,47.5,36.0,419,966,88,0.16,579000,34.21,46.69,95
I1_ B779,1980,37500,19,142.59,81.2,19.0,47.5,36.0,422,1068,84,0.125,451000,36.33,52.0,90
I1_ B780,2220,37500,19,142.59,6.6,19.0,47.5,29.0,427,4318,80,0.152,551000,38.03,72.48,35
I1_ B781,1760,37500,19,142.59,6.6,19.0,57.0,30.0,453,4318,83,0.163,590000,30.06,46.61,125
I1_ B782,2500,37500,19,142.59,70.0,19.0,57.0,29.0,428,1100,79,0.159,573000,35.78,58.26,40
I1_ B783,1620,37500,19,142.59,51.0,19.0,57.0,35.0,444,1068,84,0.126,456000,48.6,70.76,30
I1_ B784,1640,37500,25,142.59,52.2,19.0,0.0,30.0,431,966,82,0.171,618000,36.05,45.25,85
I1_ B785,1720,37500,25,142.59,13.2,19.0,0.0,36.0,424,4318,85,0.16,579000,55.05,55.36,25
I1_ B786,1860,37500,25,142.59,101.5,19.0,0.0,30.0,436,1034,84,0.14300000000000002,518000,71.46,69.42,25
I1_ B787,2080,37500,25,142.59,71.4,19.0,25.0,35.0,451,1034,87,0.159,573000,35.1,47.82,95
I1_ B788,2160,37500,25,142.59,5.5,19.0,25.0,32.0,460,4318,76,0.146,529000,31.98,58.5,95
I1_ B789,1660,37500,25,142.59,15.3,19.0,25.0,29.0,424,4840,76,0.13999999999999999,506000,52.71,69.63,40
I1_ B790,1640,37500,25,142.59,61.2,19.0,50.0,36.0,457,1034,87,0.176,634000,41.23,47.25,95
I1_ B791,1680,37500,25,142.59,16.8,19.0,50.0,38.0,416,4100,79,0.176,634000,57.04,54.4,90
I1_ B792,1760,37500,25,142.59,61.2,19.0,50.0,32.0,451,1034,88,0.129,467000,48.19,70.68,35
I1_ B793,1400,37500,25,142.59,10.2,19.0,62.5,39.0,428,4840,79,0.16,579000,36.61,46.95,110
I1_ B794,1260,37500,25,142.59,61.2,19.0,62.5,33.0,448,1068,85,0.157,568000,51.23,53.46,90
I1_ B795,2340,37500,25,142.59,13.2,19.0,62.5,38.0,438,4318,82,0.134,484000,43.96,66.19,35
I1_ B796,1780,37500,25,142.59,19.8,19.0,75.0,36.0,442,4123,83,0.146,529000,37.72,27.43,140
I1_ B797,1300,37500,25,142.59,60.0,19.0,75.0,37.0,460,1100,74,0.17200000000000001,623000,66.17,60.85,30
I1_ B798,1340,37500,25,142.59,34.8,19.0,75.0,34.0,415,966,84,0.149,540000,77.98,70.88,35
I1_ B799,2740,50000,19,253.23,25.5,19.0,0.0,34.0,438,1138,84,0.18000000000000002,651000,24.39,47.23,115
I1_ B800,2720,50000,19,253.23,121.8,19.0,0.0,32.0,431,1068,84,0.149,540000,32.36,53.4,65
I1_ B801,2440,50000,19,253.23,98.6,19.0,0.0,37.0,429,966,84,0.149,540000,48.63,69.27,30
I1_ B802,2020,50000,19,213.88,101.5,19.0,0.0,40.0,445,1068,88,0.12300000000000001,445000,45.37,41.87,125
I1_ B803,1380,50000,19,213.88,23.1,19.0,0.0,35.0,456,4123,73,0.14200000000000002,512000,85.76,63.45,65
I1_ B804,1700,50000,19,213.88,21.6,19.0,0.0,38.0,415,4100,72,0.134,484000,81.9,70.44,25
I1_ B805,2280,50000,19,253.23,71.4,19.0,19.0,29.0,424,1138,88,0.183,662000,31.04,44.72,80
I1_ B806,2700,50000,19,253.23,66.3,19.0,19.0,38.0,444,1138,85,0.13999999999999999,506000,40.12,58.98,75
I1_ B807,2340,50000,19,253.23,46.4,19.0,19.0,36.0,420,966,82,0.159,573000,38.07,71.67,30
I1_ B808,1600,50000,19,213.88,61.2,19.0,19.0,37.0,438,1138,85,0.174,629000,77.19,45.72,80
I1_ B809,1340,50000,19,213.88,40.8,19.0,19.0,38.0,458,1138,88,0.176,634000,87.02,61.17,70
I1_ B810,1260,50000,19,213.88,91.8,19.0,19.0,31.0,419,1034,88,0.14300000000000002,518000,131.03,69.61,40
I1_ B811,2320,50000,19,253.23,45.9,19.0,38.0,38.0,421,1138,87,0.129,467000,27.38,41.35,120
I1_ B812,2780,50000,19,253.23,35.7,19.0,38.0,28.0,442,1138,87,0.136,490000,32.85,65.29,105
I1_ B813,2100,50000,19,253.23,31.2,19.0,38.0,31.0,436,4100,72,0.174,629000,54.14,69.8,30
I1_ B814,1900,50000,19,213.88,15.4,19.0,38.0,27.0,448,4318,72,0.166,601000,60.82,46.98,105
I1_ B815,1620,50000,19,213.88,22.1,19.0,38.0,33.0,431,4840,81,0.176,634000,96.79,62.48,40
I1_ B816,2300,50000,19,213.88,91.8,19.0,38.0,36.0,438,1068,85,0.14200000000000002,512000,77.65,71.09,40
I1_ B817,2660,50000,19,253.23,162.4,19.0,47.5,34.0,424,1068,86,0.13999999999999999,506000,33.53,45.16,100
I1_ B818,1580,50000,19,253.23,25.5,19.0,47.5,30.0,450,4840,79,0.125,451000,60.91,53.0,105
I1_ B819,2260,50000,19,253.23,28.8,19.0,47.5,34.0,448,4100,85,0.146,529000,65.01,71.13,50
I1_ B820,1280,50000,19,213.88,46.4,19.0,47.5,39.0,449,966,84,0.14200000000000002,512000,70.65,47.57,135
I1_ B821,1300,50000,19,213.88,33.0,19.0,47.5,35.0,435,4123,73,0.125,451000,120.66,63.15,30
I1_ B822,1460,50000,19,213.88,71.4,19.0,47.5,34.0,435,1138,86,0.132,479000,86.95,70.71,35
I1_ B823,2040,50000,19,253.23,101.5,19.0,57.0,27.0,444,1068,82,0.165,595000,49.09,47.48,135
I1_ B824,1820,50000,19,253.23,162.4,19.0,57.0,35.0,432,1034,86,0.163,590000,52.7,53.73,95
I1_ B825,1620,50000,19,253.23,56.1,19.0,57.0,37.0,415,1138,84,0.14200000000000002,512000,60.2,67.28,35
I1_ B826,1900,50000,19,213.88,100.0,19.0,57.0,28.0,416,1100,83,0.16,579000,55.34,43.35,125
I1_ B827,1700,50000,19,213.88,35.7,19.0,57.0,32.0,416,1138,84,0.162,584000,60.68,64.81,100
I1_ B828,1920,50000,19,213.88,91.8,19.0,57.0,40.0,452,1068,84,0.13899999999999998,501000,68.26,69.9,40
I1_ B829,2060,50000,25,253.23,23.1,19.0,0.0,36.0,414,4123,82,0.13699999999999998,495000,45.86,44.69,120
I1_ B830,2800,50000,25,253.23,61.2,19.0,0.0,29.0,442,1138,84,0.132,479000,30.48,55.05,85
I1_ B831,2380,50000,25,253.23,91.8,19.0,0.0,35.0,419,1068,82,0.163,590000,53.95,69.81,40
I1_ B832,2120,50000,25,213.88,121.8,19.0,0.0,34.0,414,1068,84,0.132,479000,41.91,43.61,90
I1_ B833,1700,50000,25,213.88,121.8,19.0,0.0,32.0,434,1068,88,0.157,568000,67.88,53.44,80
I1_ B834,2200,50000,25,213.88,11.9,19.0,0.0,29.0,440,4840,77,0.14300000000000002,518000,50.08,71.82,30
I1_ B835,1540,50000,25,253.23,102.0,19.0,25.0,32.0,435,1068,84,0.185,668000,50.96,42.09,120
I1_ B836,2020,50000,25,253.23,75.4,19.0,25.0,27.0,421,966,84,0.182,657000,43.6,60.53,85
I1_ B837,2520,50000,25,253.23,58.0,19.0,25.0,33.0,441,966,82,0.174,629000,50.3,71.88,35
I1_ B838,1340,50000,25,213.88,14.3,19.0,25.0,32.0,457,4318,74,0.162,584000,57.38,45.94,120
I1_ B839,2440,50000,25,213.88,29.7,19.0,25.0,33.0,444,4123,85,0.176,634000,42.23,58.95,40
I1_ B840,1580,50000,25,213.88,101.5,19.0,25.0,37.0,436,1068,87,0.16,579000,96.33,70.65,35
I1_ B841,2540,50000,25,253.23,51.0,19.0,50.0,30.0,457,1068,82,0.162,584000,25.19,46.81,175
I1_ B842,2700,50000,25,253.23,56.1,19.0,50.0,33.0,430,1138,82,0.15100000000000002,545000,41.32,62.45,100
I1_ B843,1740,50000,25,253.23,162.4,19.0,50.0,28.0,444,1034,85,0.128,462000,95.86,70.45,30
I1_ B844,1960,50000,25,213.88,71.4,19.0,50.0,37.0,450,1068,87,0.148,534000,52.92,44.64,140
I1_ B845,2300,50000,25,213.88,23.8,19.0,50.0,31.0,456,4840,81,0.132,479000,55.48,63.22,50
I1_ B846,1540,50000,25,213.88,22.1,19.0,50.0,39.0,449,4840,73,0.14200000000000002,512000,131.16,69.8,30
I1_ B847,1520,50000,25,253.23,17.0,19.0,62.5,35.0,424,4840,74,0.182,657000,59.68,46.88,145
I1_ B848,2520,50000,25,253.23,15.4,19.0,62.5,39.0,427,4318,83,0.166,601000,34.77,58.05,110
I1_ B849,1900,50000,25,253.23,8.8,19.0,62.5,38.0,433,4318,72,0.174,629000,44.82,69.53,105
I1_ B850,1660,50000,25,213.88,8.5,19.0,62.5,31.0,436,4840,72,0.148,534000,42.6,48.5,155
I1_ B851,1700,50000,25,213.88,13.6,19.0,62.5,33.0,452,4840,74,0.12300000000000001,445000,64.99,61.06,115
I1_ B852,2080,50000,25,213.88,56.1,19.0,62.5,35.0,438,1138,82,0.126,456000,74.34,67.13,45
I1_ B853,1520,50000,25,253.23,71.4,19.0,75.0,28.0,425,1138,85,0.18000000000000002,651000,59.32,46.62,145
I1_ B854,2600,50000,25,253.23,21.6,19.0,75.0,33.0,422,4100,84,0.165,595000,28.28,54.05,145
I1_ B855,1660,50000,25,253.23,45.9,19.0,75.0,28.0,430,1138,83,0.13699999999999998,495000,87.44,71.48,35
I1_ B856,2080,50000,25,213.88,17.6,19.0,75.0,38.0,417,4318,84,0.182,657000,48.41,39.92,140
I1_ B857,1340,50000,25,213.88,121.8,19.0,75.0,30.0,447,1068,86,0.14200000000000002,512000,72.39,54.62,120
I1_ B858,1600,50000,25,213.88,20.4,19.0,75.0,36.0,416,4840,77,0.134,484000,108.04,69.93,55
I1_ B859,2060,62500,19,253.23,132.6,19.0,0.0,29.0,432,1034,88,0.162,584000,59.6,47.11,80
I1_ B860,2500,62500,19,253.23,22.0,19.0,0.0,37.0,441,4318,74,0.162,584000,56.92,56.41,30
I1_ B861,1600,62500,19,253.23,29.7,19.0,0.0,35.0,442,4123,79,0.18000000000000002,651000,97.78,71.51,25
I1_ B862,2240,62500,19,213.88,75.4,19.0,0.0,36.0,435,966,82,0.17200000000000001,623000,42.09,45.62,80
I1_ B863,2220,62500,19,213.88,86.7,19.0,0.0,28.0,457,1138,82,0.17200000000000001,623000,70.97,56.79,35
I1_ B864,2220,62500,19,213.88,121.8,19.0,0.0,36.0,452,1034,86,0.179,645000,73.8,68.73,30
I1_ B865,2180,62500,19,379.84,59.4,19.0,0.0,35.0,442,4123,80,0.14200000000000002,512000,64.06,46.72,85
I1_ B866,2700,62500,19,379.84,163.2,19.0,0.0,29.0,433,1068,86,0.156,562000,62.8,53.57,65
I1_ B867,2200,62500,19,379.84,30.6,19.0,0.0,35.0,424,4840,72,0.157,568000,90.36,70.13,25
I1_ B868,2240,62500,19,253.23,76.5,19.0,19.0,37.0,440,1138,83,0.166,601000,54.01,44.42,90
I1_ B869,2280,62500,19,253.23,91.8,19.0,19.0,38.0,446,1034,85,0.165,595000,58.79,38.54,30
I1_ B870,2240,62500,19,253.23,19.8,19.0,19.0,39.0,426,4318,82,0.146,529000,79.27,57.05,35
I1_ B871,1680,62500,19,213.88,61.2,19.0,19.0,31.0,416,1138,88,0.165,595000,48.08,46.53,60
I1_ B872,1800,62500,19,213.88,61.2,19.0,19.0,37.0,423,1068,83,0.174,629000,82.76,28.67,75
